        Thu Oct 12 21:04:13 2023
==================START==================

=======PARAMS:
K = 5	 1/(2^K) = 0.0312

i	state1	out	state2	filteredInput
56	21410	669	20741	83
57	21541	673	20868	84
58	21668	677	20991	84
59	21791	681	21110	85
60	21910	685	21225	85
61	22025	688	21337	86
62	22137	692	21445	86
63	22245	695	21550	86
64	22350	698	21652	87
65	22452	702	21750	87
66	22550	705	21845	88
67	22645	708	21937	88
68	22737	711	22026	88
69	22826	713	22113	89
70	22913	716	22197	89
71	22997	719	22278	89
72	23078	721	22357	90
73	23157	724	22433	90
74	23233	726	22507	90
75	23307	728	22579	91
76	23379	731	22648	91
77	23448	733	22715	91
78	23515	735	22780	91
79	23580	737	22843	92
80	23643	739	22904	92
81	23704	741	22963	92
82	23763	743	23020	92
83	23820	744	23076	93
84	23876	746	23130	93
85	23930	748	23182	93
86	23982	749	23233	93
87	24033	751	23282	93
88	24082	753	23329	94
89	24129	754	23375	94
90	24175	755	23420	94
91	24220	757	23463	94
92	24263	758	23505	94
93	24305	760	23545	95
94	24345	761	23584	95
95	24384	762	23622	95
96	24422	763	23659	95
97	24459	764	23695	95
98	24495	765	23730	95
99	24530	767	23763	95
100	24563	768	23795	96
101	24595	769	23826	96
102	24626	770	23856	96
103	24656	771	23885	96
104	24685	771	23914	96
105	24714	772	23942	96
106	24742	773	23969	96
107	24769	774	23995	96
108	24795	775	24020	96
109	24820	776	24044	97
110	24844	776	24068	97
111	24868	777	24091	97
112	24891	778	24113	97
113	24913	779	24134	97
114	24934	779	24155	97
115	24955	780	24175	97
116	24975	780	24195	97
117	24995	781	24214	97
118	25014	782	24232	97
119	25032	782	24250	97
120	25050	783	24267	97
121	25067	783	24284	97
122	25084	784	24300	98
123	25100	784	24316	98
124	25116	785	24331	98
125	25131	785	24346	98
126	25146	786	24360	98
127	25160	786	24374	98
128	25174	787	24387	98
129	25187	787	24400	98
130	25200	788	24412	98
131	25212	788	24424	98
132	25224	788	24436	98
133	25236	789	24447	98
134	25247	789	24458	98
135	25258	789	24469	98
136	25269	790	24479	98
137	25279	790	24489	98
138	25289	790	24499	98
139	25299	791	24508	98
140	25308	791	24517	98
141	25317	791	24526	98
142	25326	791	24535	98
143	25335	792	24543	99
144	25343	792	24551	99
145	25351	792	24559	99
146	25359	792	24567	99
147	25367	793	24574	99
148	25374	793	24581	99
149	25381	793	24588	99
150	25388	793	24595	99
151	25395	794	24601	99
152	25401	794	24607	99
153	25407	794	24613	99
154	25413	794	24619	99
155	25419	794	24625	99
156	25425	795	24630	99
157	25430	795	24635	99
158	25435	795	24640	99
159	25440	795	24645	99
160	25445	795	24650	99
161	25450	795	24655	99
162	25455	795	24660	99
163	25460	796	24664	99
164	25464	796	24668	99
165	25468	796	24672	99
166	25472	796	24676	99
167	25476	796	24680	99
168	25480	796	24684	99
169	25484	796	24688	99
170	25488	797	24691	99
171	25491	797	24694	99
172	25494	797	24697	99
173	25497	797	24700	99
174	25500	797	24703	99
175	25503	797	24706	99
176	25506	797	24709	99
177	25509	797	24712	99
178	25512	797	24715	99
179	25515	797	24718	99
180	25518	797	24721	99
181	25521	798	24723	99
182	25523	798	24725	99
183	25525	798	24727	99
184	25527	798	24729	99
185	25529	798	24731	99
186	25531	798	24733	99
187	25533	798	24735	99
188	25535	798	24737	99
189	25537	798	24739	99
190	25539	798	24741	99
191	25541	798	24743	99
192	25543	798	24745	99
193	25545	798	24747	99
194	25547	798	24749	99
195	25549	798	24751	99
196	25551	798	24753	99
197	25553	799	24754	99
198	25554	799	24755	99
199	25555	799	24756	99
===================END===================




        Fri Oct 13 08:30:20 2023
==================START==================

=======PARAMS:
K = 5	 1/(2^K) = 0.0312

i	state1	out	state2	filteredInput
0	3203	100	3103	3
1	6306	197	6109	6
2	9312	291	9021	9
3	12224	382	11842	11
4	15045	470	14575	14
5	17778	556	17222	17
6	20425	638	19787	19
7	22990	718	22272	22
8	25475	796	24679	24
9	27882	871	27011	27
10	30214	944	29270	29
11	32473	1015	31458	31
12	34661	1083	33578	33
13	36781	1149	35632	35
14	38835	1214	37621	37
15	40824	1276	39548	39
16	42751	1336	41415	41
17	44618	1394	43224	43
18	46427	1451	44976	45
19	48179	1506	46673	47
20	49876	1559	48317	48
21	51520	1610	49910	50
22	53113	1660	51453	51
23	54656	1708	52948	53
24	56151	1755	54396	54
25	57599	1800	55799	56
26	59002	1844	57158	57
27	60361	1886	58475	58
28	61678	1927	59751	60
29	62954	1967	60987	61
30	64190	2006	62184	62
31	65387	2043	63344	63
32	66547	2080	64467	65
33	67670	2115	65555	66
34	68758	2149	66609	67
35	69812	2182	67630	68
36	70833	2214	68619	69
37	71822	2244	69578	70
38	72781	2274	70507	71
39	73710	2303	71407	71
40	74610	2332	72278	72
41	75481	2359	73122	73
42	76325	2385	73940	74
43	77143	2411	74732	75
44	77935	2435	75500	76
45	78703	2459	76244	76
46	79447	2483	76964	77
47	80167	2505	77662	78
48	80865	2527	78338	78
49	81541	2548	78993	79
50	82196	2569	79627	80
51	82830	2588	80242	80
52	83445	2608	80837	81
53	84040	2626	81414	82
54	84617	2644	81973	82
55	85176	2662	82514	83
56	85717	2679	83038	83
57	86241	2695	83546	84
58	86749	2711	84038	84
59	87241	2726	84515	85
60	87718	2741	84977	85
61	88180	2756	85424	86
62	88627	2770	85857	86
63	89060	2783	86277	86
64	89480	2796	86684	87
65	89887	2809	87078	87
66	90281	2821	87460	88
67	90663	2833	87830	88
68	91033	2845	88188	88
69	91391	2856	88535	89
70	91738	2867	88871	89
71	92074	2877	89197	89
